p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
1.44838400117008e-74	0.601892571137155	0.332	0.078	1.42624203885334e-72	Astrocyte	METTL7A
1.14173197640856e-73	0.914316322254284	0.542	0.205	1.11150202748774e-71	Astrocyte	TPCN1
1.08346982315441e-72	0.794043115675513	0.689	0.325	1.0429310084229e-70	Astrocyte	ITPR2
2.44421108203505e-71	0.438839553234362	0.271	0.053	2.32661737108825e-69	Astrocyte	CA2
1.91487945017645e-70	1.32133466763973	0.919	0.796	1.80272222523755e-68	Astrocyte	CLU
4.61340037174271e-70	0.834525101655954	0.975	0.879	4.29597836790433e-68	Astrocyte	MIR99AHG
1.24638538026739e-68	0.522686779695872	0.327	0.079	1.14814876911298e-66	Astrocyte	ADGRA3
2.65194417041396e-67	0.664600128360113	0.423	0.131	2.41693677744004e-65	Astrocyte	HIP1R
4.64141086732725e-67	0.367403833823135	0.167	0.023	4.18557546319921e-65	Astrocyte	PHYHD1
5.07300500839948e-67	0.541906554877056	0.382	0.105	4.52712853197483e-65	Astrocyte	HTRA1
1.98036562218715e-66	-0.676764773210768	0.686	0.944	1.74905075105952e-64	Astrocyte	NEGR1
1.63547044976549e-65	0.935575816943319	0.833	0.611	1.42970156562663e-63	Astrocyte	CAMK2G
5.7349435724775e-65	0.263250113032834	0.127	0.013	4.96275369549644e-63	Astrocyte	ZFP36L2
6.63787649585425e-65	0.568283651581947	0.329	0.086	5.68666879399834e-63	Astrocyte	PSAT1
7.00670711739754e-65	0.679277757967658	0.372	0.107	5.94321384898462e-63	Astrocyte	RGMA
7.39655772017063e-65	0.749473491441353	0.957	0.876	6.21238333222567e-63	Astrocyte	MACF1
1.97665012043604e-63	-0.553932858313772	0.805	0.98	1.64407393997821e-61	Astrocyte	FRMD4A
5.26445491116915e-63	0.751877650551808	0.906	0.697	4.33659473307559e-61	Astrocyte	PRKCA
7.02851572985567e-63	0.648917204869161	0.937	0.84	5.73459945311177e-61	Astrocyte	GPM6B
7.73232330296785e-63	0.468273906418885	0.243	0.049	6.24932205061562e-61	Astrocyte	CTSH
1.00344775131613e-62	-0.59802693723621	0.565	0.964	8.03414662198627e-61	Astrocyte	ANK3
2.79456483462947e-62	0.819885709539439	0.61	0.285	2.21676267946951e-60	Astrocyte	AHCYL1
4.93324324112631e-62	0.742086242041871	0.509	0.197	3.87734815107606e-60	Astrocyte	ANKDD1A
8.24059624127315e-62	0.780007877603368	0.572	0.252	6.4179261817261e-60	Astrocyte	TCF7L2
1.06179322471883e-61	0.59832827172652	0.319	0.084	8.19493923978939e-60	Astrocyte	SLC15A2
1.08475125439977e-61	0.828240838684455	0.727	0.41	8.29737856825254e-60	Astrocyte	ADD3
1.91326663491775e-61	0.918943014207818	0.965	0.927	1.45052701427791e-59	Astrocyte	RORA
4.18077318296274e-61	-0.653990252952541	0.476	0.867	3.14181437354753e-59	Astrocyte	RASAL2
6.77116576885465e-61	0.77584281752284	0.509	0.198	5.04422409928503e-59	Astrocyte	GLUD1
2.11858918094894e-60	0.748226232408938	0.582	0.264	1.56465116493013e-58	Astrocyte	FGD4
2.05864755850675e-59	0.962248670979013	0.929	0.778	1.50738749006216e-57	Astrocyte	FTL
2.27699233113927e-59	0.583464952495498	0.311	0.082	1.65313502549747e-57	Astrocyte	ENTPD1
3.07484543656561e-58	0.810834162702085	0.615	0.293	2.19518340458813e-56	Astrocyte	SLC3A2
1.45068678315062e-57	0.469180634194521	0.997	0.958	1.02711022076457e-55	Astrocyte	PCDH9
1.77883051887481e-57	-0.573117909556453	0.595	0.934	1.24911811927873e-55	Astrocyte	NBEA
1.96196560866772e-57	-0.65074151119272	0.603	0.922	1.36651702190702e-55	Astrocyte	OXR1
3.11193499321996e-57	-0.586349224891244	0.676	0.943	2.14999573281576e-55	Astrocyte	MEF2C
6.34061497032493e-56	0.768588019570244	0.747	0.472	4.34560387606189e-54	Astrocyte	FNBP1
6.70567051806459e-56	0.370244900633328	0.21	0.041	4.55932375621106e-54	Astrocyte	CYP27A1
6.96927619338621e-56	0.276570464029929	0.157	0.024	4.70124324005824e-54	Astrocyte	NOTCH1
